用户ID,省份,性别,年龄,注册日期
100000,黑龙江,女,23,2011-1-1
100001,甘肃,男,18,2011-1-1
100002,广东,女,24,2011-1-1
100006,安徽,男,30,2011-1-1
100010,浙江,女,22,2011-1-1
100011,辽宁,男,20,2011-1-1
100012,上海,女,45,2011-1-1
100013,黑龙江,男,20,2011-1-1
100015,海南,男,24,2011-1-1
100016,吉林,男,27,2011-1-1
100017,青海,女,44,2011-1-2
100019,重庆,女,41,2011-1-2
100020,山东,女,22,2011-1-2
100021,辽宁,男,21,2011-1-2
100024,上海,女,22,2011-1-2
100025,北京,男,18,2011-1-2
100027,上海,男,22,2011-1-2
100028,天津,女,19,2011-1-2
100029,甘肃,男,41,2011-1-2
100030,湖南,女,33,2011-1-2
100031,贵州,男,38,2011-1-2
100032,云南,男,19,2011-1-2
100033,河北,女,37,2011-1-2
100034,上海,男,25,2011-1-2
100036,天津,女,45,2011-1-2
100037,广西,女,21,2011-1-2
100039,上海,男,33,2011-1-2
100040,江西,女,22,2011-1-2
100042,新疆,男,25,2011-1-2
100043,河南,女,27,2011-1-3
100044,湖南,男,37,2011-1-3
100045,黑龙江,男,23,2011-1-3
100047,江苏,男,20,2011-1-3
100048,湖南,男,33,2011-1-3
100051,上海,男,34,2011-1-3
100052,重庆,男,28,2011-1-3
100053,安徽,男,28,2011-1-3
100054,贵州,女,41,2011-1-3
100055,上海,男,19,2011-1-3
100058,甘肃,女,46,2011-1-3
100059,陕西,男,20,2011-1-3
100062,山西,女,19,2011-1-3
100064,云南,女,29,2011-1-3
100066,新疆,女,18,2011-1-3
100067,江苏,女,22,2011-1-3
100069,重庆,男,23,2011-1-3
100070,广西,女,23,2011-1-3
100071,江西,女,20,2011-1-3
100072,广西,男,23,2011-1-3
100077,青海,男,37,2011-1-3
100079,内蒙古,女,26,2011-1-3
100081,山西,男,31,2011-1-3
100082,山西,女,34,2011-1-3
100086,黑龙江,女,24,2011-1-3
100087,云南,女,32,2011-1-3
100089,四川,女,35,2011-1-3
100091,甘肃,男,23,2011-1-3
100093,西藏,女,38,2011-1-3
100095,陕西,男,30,2011-1-3
100097,海南,女,30,2011-1-3
100098,福建,女,42,2011-1-3
100100,甘肃,男,37,2011-1-3
100101,天津,女,18,2011-1-3
100102,上海,女,37,2011-1-3
100103,贵州,男,28,2011-1-3
100105,辽宁,女,22,2011-1-3
100106,山西,女,31,2011-1-3
100107,上海,女,20,2011-1-3
100109,湖北,男,24,2011-1-3
100111,四川,男,25,2011-1-3
100114,海南,男,36,2011-1-3
100115,海南,女,19,2011-1-3
100117,宁夏,女,33,2011-1-3
100119,新疆,女,31,2011-1-4
100124,北京,女,19,2011-1-4
100125,广西,女,19,2011-1-4
100127,山东,女,31,2011-1-4
100128,北京,女,35,2011-1-4
100129,西藏,女,30,2011-1-4
100130,湖南,女,44,2011-1-4
100131,内蒙古,男,19,2011-1-4
100132,新疆,男,27,2011-1-4
100134,黑龙江,男,21,2011-1-4
100136,浙江,女,47,2011-1-4
100137,福建,女,30,2011-1-4
100138,湖北,女,41,2011-1-4
