订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119024054,2011-9-2 0:00,154445,产品D,300,10,3000
119024055,2011-9-2 0:00,113680,产品B,200,8,1600
119024056,2011-9-2 0:00,119840,产品A,100,1,100
119024057,2011-9-2 0:00,119840,产品A,100,6,600
119024058,2011-9-2 0:00,147400,产品D,300,9,2700
119024059,2011-9-2 0:00,119840,产品A,100,10,1000
119024060,2011-9-2 0:00,104437,产品A,100,1,100
119024061,2011-9-2 0:00,111440,产品A,100,6,600
119024062,2011-9-2 0:00,182427,产品A,100,10,1000
119024063,2011-9-2 0:00,149841,产品B,200,3,600
119024064,2011-9-2 0:00,115431,产品B,200,7,1400
119024065,2011-9-2 0:00,111047,产品A,100,3,300
119024066,2011-9-2 0:00,106637,产品A,100,9,900
119024067,2011-9-2 0:00,111513,产品A,100,10,1000
119024068,2011-9-2 0:00,123187,产品D,300,5,1500
119024069,2011-9-2 0:00,166087,产品A,100,10,1000
119024070,2011-9-2 0:00,174323,产品D,300,8,2400
119024071,2011-9-2 0:00,149841,产品B,200,1,200
119024072,2011-9-2 0:00,147681,产品A,100,10,1000
119024073,2011-9-2 0:00,120957,产品D,300,9,2700
119024074,2011-9-2 0:00,145382,产品D,300,4,1200
119024075,2011-9-2 0:00,170837,产品D,300,3,900
119024076,2011-9-2 0:00,187352,产品D,300,10,3000
119024077,2011-9-2 0:00,192680,产品A,100,3,300
119024078,2011-9-2 0:00,101347,产品A,100,4,400
119024079,2011-9-2 0:00,198450,产品A,100,5,500
119024080,2011-9-2 0:00,149731,产品A,100,3,300
119024081,2011-9-2 0:00,167106,产品A,100,1,100
119024082,2011-9-2 0:00,185272,产品D,300,6,1800
119024083,2011-9-2 0:00,193771,产品D,300,1,300
119024084,2011-9-2 0:00,113438,产品A,100,4,400
119024085,2011-9-2 0:00,115174,产品B,200,1,200
119024086,2011-9-2 0:00,196553,产品D,300,8,2400
119024087,2011-9-2 0:00,165800,产品A,100,2,200
119024088,2011-9-2 0:00,187671,产品E,400,4,1600
119024089,2011-9-2 0:00,165678,产品C,280,2,560
119024090,2011-9-2 0:00,106001,产品B,200,3,600
119024091,2011-9-2 0:00,149841,产品B,200,3,600
119024092,2011-9-2 0:00,184936,产品A,100,1,100
119024093,2011-9-2 0:00,145080,产品A,100,3,300
119024094,2011-9-2 0:00,133412,产品A,100,5,500
119024095,2011-9-2 0:00,119150,产品A,100,1,100
119024096,2011-9-2 0:00,143514,产品D,300,10,3000
119024097,2011-9-2 0:00,149841,产品B,200,6,1200
119024098,2011-9-2 0:01,104629,产品A,100,2,200
119024099,2011-9-2 0:01,182291,产品D,300,7,2100
119024100,2011-9-2 0:01,197083,产品D,300,3,900
119024101,2011-9-2 0:01,166313,产品D,300,9,2700
119024102,2011-9-2 0:01,154668,产品A,100,2,200
119024103,2011-9-2 0:01,187880,产品A,100,6,600
119024104,2011-9-2 0:01,109755,产品A,100,4,400
119024105,2011-9-2 0:01,159680,产品E,400,4,1600
119024106,2011-9-2 0:01,178393,产品B,200,5,1000
119024107,2011-9-2 0:01,190840,产品D,300,2,600
119024108,2011-9-2 0:01,147815,产品D,300,10,3000
119024109,2011-9-2 0:01,157113,产品D,300,6,1800
119024110,2011-9-2 0:01,117588,产品A,100,2,200
119024111,2011-9-2 0:01,168118,产品B,200,4,800
119024112,2011-9-2 0:01,107076,产品D,300,7,2100
119024113,2011-9-2 0:01,128866,产品A,100,6,600
119024114,2011-9-2 0:01,105563,产品D,300,6,1800
