订单编号,订购日期,用户ID,产品,单价(元),数量,订购金额
119236910,2011-9-6 0:00,119970,产品A,100,6,600
119236911,2011-9-6 0:00,130887,产品B,200,10,2000
119236912,2011-9-6 0:00,133422,产品A,100,10,1000
119236913,2011-9-6 0:00,149841,产品B,200,9,1800
119236914,2011-9-6 0:00,151129,产品A,100,3,300
119236915,2011-9-6 0:00,168738,产品B,200,5,1000
119236916,2011-9-6 0:00,182291,产品D,300,10,3000
119236917,2011-9-6 0:01,104629,产品A,100,3,300
119236918,2011-9-6 0:01,124230,产品A,100,5,500
119236919,2011-9-6 0:01,155250,产品A,100,8,800
119236920,2011-9-6 0:01,163648,产品A,100,9,900
119236921,2011-9-6 0:01,164894,产品A,100,8,800
119236922,2011-9-6 0:01,169983,产品D,300,7,2100
119236923,2011-9-6 0:01,171318,产品D,300,9,2700
119236924,2011-9-6 0:01,188536,产品A,100,6,600
119236925,2011-9-6 0:02,103868,产品B,200,6,1200
119236926,2011-9-6 0:02,112193,产品A,100,6,600
119236927,2011-9-6 0:02,125091,产品A,100,6,600
119236928,2011-9-6 0:02,128284,产品A,100,6,600
119236929,2011-9-6 0:02,152397,产品C,280,4,1120
119236930,2011-9-6 0:02,154656,产品A,100,4,400
119236931,2011-9-6 0:02,164269,产品A,100,3,300
119236932,2011-9-6 0:02,182209,产品A,100,5,500
119236933,2011-9-6 0:02,186326,产品B,200,2,400
119236934,2011-9-6 0:03,110405,产品A,100,8,800
119236935,2011-9-6 0:03,130887,产品B,200,7,1400
119236936,2011-9-6 0:03,140447,产品D,300,5,1500
119236937,2011-9-6 0:03,149841,产品B,200,6,1200
119236938,2011-9-6 0:03,181670,产品A,100,5,500
119236939,2011-9-6 0:03,196695,产品A,100,10,1000
119236940,2011-9-6 0:04,113438,产品A,100,8,800
119236941,2011-9-6 0:04,118006,产品A,100,2,200
119236942,2011-9-6 0:04,143592,产品A,100,4,400
119236943,2011-9-6 0:04,167181,产品D,300,6,1800
119236944,2011-9-6 0:04,192680,产品A,100,4,400
119236945,2011-9-6 0:04,193771,产品D,300,4,1200
119236946,2011-9-6 0:05,113265,产品A,100,4,400
119236947,2011-9-6 0:05,120512,产品B,200,2,400
119236948,2011-9-6 0:05,144282,产品D,300,1,300
119236949,2011-9-6 0:05,153605,产品A,100,9,900
119236950,2011-9-6 0:05,156158,产品B,200,8,1600
119236951,2011-9-6 0:05,169035,产品A,100,9,900
119236952,2011-9-6 0:05,183677,产品A,100,5,500
119236953,2011-9-6 0:05,196833,产品D,300,5,1500
119236954,2011-9-6 0:06,108437,产品D,300,2,600
119236955,2011-9-6 0:06,111489,产品A,100,1,100
119236956,2011-9-6 0:06,119150,产品A,100,9,900
119236957,2011-9-6 0:06,153665,产品C,280,2,560
119236958,2011-9-6 0:06,181670,产品A,100,5,500
119236959,2011-9-6 0:06,181670,产品A,100,4,400
119236960,2011-9-6 0:06,193881,产品A,100,5,500
119236961,2011-9-6 0:07,116903,产品A,100,1,100
119236962,2011-9-6 0:07,127674,产品A,100,1,100
119236963,2011-9-6 0:07,128658,产品B,200,5,1000
119236964,2011-9-6 0:07,142113,产品B,200,7,1400
119236965,2011-9-6 0:07,146291,产品A,100,1,100
119236966,2011-9-6 0:07,149841,产品B,200,7,1400
119236967,2011-9-6 0:07,161291,产品A,100,9,900
119236968,2011-9-6 0:07,180302,产品B,200,6,1200
119236969,2011-9-6 0:08,128038,产品D,300,7,2100
119236970,2011-9-6 0:08,151240,产品A,100,1,100
119236971,2011-9-6 0:08,169961,产品D,300,7,2100
119236972,2011-9-6 0:08,170225,产品A,100,9,900
119236973,2011-9-6 0:08,183909,产品A,100,5,500
119236974,2011-9-6 0:08,193917,产品A,100,10,1000
119236975,2011-9-6 0:08,194589,产品A,100,10,1000
119236976,2011-9-6 0:09,114834,产品D,300,5,1500
119236977,2011-9-6 0:09,116383,产品A,100,2,200
119236978,2011-9-6 0:09,120594,产品D,300,9,2700
119236979,2011-9-6 0:09,121881,产品A,100,2,200
119236980,2011-9-6 0:09,150757,产品D,300,5,1500
119236981,2011-9-6 0:09,154445,产品D,300,2,600
119236982,2011-9-6 0:09,181670,产品A,100,6,600
119236983,2011-9-6 0:09,198450,产品A,100,3,300
119236984,2011-9-6 0:10,100954,产品D,300,8,2400
119236985,2011-9-6 0:10,111047,产品A,100,10,1000
119236986,2011-9-6 0:10,124394,产品A,100,2,200
119236987,2011-9-6 0:10,139126,产品A,100,4,400
119236988,2011-9-6 0:10,149047,产品A,100,6,600
119236989,2011-9-6 0:10,154056,产品A,100,7,700
119236990,2011-9-6 0:10,176484,产品A,100,2,200
119236991,2011-9-6 0:10,186375,产品A,100,4,400
119236992,2011-9-6 0:11,111047,产品A,100,6,600
119236993,2011-9-6 0:11,112329,产品A,100,5,500
119236994,2011-9-6 0:11,119996,产品D,300,6,1800
119236995,2011-9-6 0:11,128085,产品E,400,1,400
119236996,2011-9-6 0:11,139993,产品B,200,1,200
119236997,2011-9-6 0:11,171685,产品D,300,5,1500
119236998,2011-9-6 0:11,186712,产品D,300,8,2400
119236999,2011-9-6 0:11,197895,产品D,300,7,2100
119237000,2011-9-6 0:12,107527,产品D,300,3,900
119237001,2011-9-6 0:12,122279,产品A,100,3,300
119237002,2011-9-6 0:12,149841,产品B,200,3,600
119237003,2011-9-6 0:12,151437,产品A,100,3,300
119237004,2011-9-6 0:12,172141,产品A,100,3,300
119237005,2011-9-6 0:12,174748,产品D,300,3,900
119237006,2011-9-6 0:13,102565,产品D,300,1,300
119237007,2011-9-6 0:13,107029,产品A,100,8,800
119237008,2011-9-6 0:13,107347,产品A,100,6,600
119237009,2011-9-6 0:13,108125,产品D,300,6,1800
119237010,2011-9-6 0:13,121229,产品A,100,1,100
119237011,2011-9-6 0:13,131917,产品D,300,7,2100
119237012,2011-9-6 0:13,133334,产品D,300,1,300
119237013,2011-9-6 0:13,139993,产品B,200,3,600
119237014,2011-9-6 0:13,152249,产品B,200,2,400
119237015,2011-9-6 0:13,155940,产品D,300,5,1500
119237016,2011-9-6 0:14,102565,产品D,300,7,2100
119237017,2011-9-6 0:14,127624,产品A,100,5,500
119237018,2011-9-6 0:14,146460,产品D,300,7,2100
119237019,2011-9-6 0:14,149841,产品B,200,3,600
119237020,2011-9-6 0:14,151496,产品A,100,5,500
119237021,2011-9-6 0:14,153953,产品A,100,3,300
119237022,2011-9-6 0:14,154472,产品A,100,6,600
119237023,2011-9-6 0:14,159483,产品A,100,2,200
119237024,2011-9-6 0:14,164018,产品D,300,3,900
119237025,2011-9-6 0:14,174748,产品D,300,4,1200
119237026,2011-9-6 0:14,186535,产品D,300,9,2700
119237027,2011-9-6 0:14,188438,产品A,100,10,1000
119237028,2011-9-6 0:15,124394,产品A,100,10,1000
119237029,2011-9-6 0:15,138934,产品D,300,6,1800
119237030,2011-9-6 0:15,150639,产品D,300,5,1500
119237031,2011-9-6 0:15,162290,产品D,300,6,1800
119237032,2011-9-6 0:15,176509,产品A,100,4,400
119237033,2011-9-6 0:15,179618,产品B,200,10,2000
119237034,2011-9-6 0:15,180820,产品B,200,7,1400
119237035,2011-9-6 0:15,186789,产品D,300,4,1200
119237036,2011-9-6 0:16,117375,产品A,100,9,900
119237037,2011-9-6 0:16,121229,产品A,100,5,500
119237038,2011-9-6 0:16,150035,产品D,300,5,1500
119237039,2011-9-6 0:16,167273,产品A,100,9,900
119237040,2011-9-6 0:16,173656,产品A,100,6,600
119237041,2011-9-6 0:16,179930,产品A,100,1,100
119237042,2011-9-6 0:16,180820,产品B,200,2,400
119237043,2011-9-6 0:17,102565,产品D,300,4,1200
119237044,2011-9-6 0:17,103696,产品B,200,9,1800
119237045,2011-9-6 0:17,121968,产品A,100,1,100
119237046,2011-9-6 0:17,124754,产品A,100,1,100
119237047,2011-9-6 0:17,127371,产品D,300,4,1200
119237048,2011-9-6 0:17,149841,产品B,200,7,1400
119237049,2011-9-6 0:17,160538,产品E,400,3,1200
119237050,2011-9-6 0:17,180131,产品A,100,6,600
119237051,2011-9-6 0:17,182242,产品A,100,1,100
119237052,2011-9-6 0:17,196562,产品D,300,2,600
119237053,2011-9-6 0:18,101176,产品A,100,6,600
119237054,2011-9-6 0:18,113020,产品D,300,5,1500
119237055,2011-9-6 0:18,115233,产品E,400,8,3200
119237056,2011-9-6 0:18,147161,产品A,100,10,1000
119237057,2011-9-6 0:18,149841,产品B,200,1,200
119237058,2011-9-6 0:18,150547,产品A,100,2,200
119237059,2011-9-6 0:18,152417,产品A,100,5,500
119237060,2011-9-6 0:18,186775,产品B,200,7,1400
119237061,2011-9-6 0:18,189321,产品A,100,2,200
119237062,2011-9-6 0:19,116927,产品D,300,2,600
119237063,2011-9-6 0:19,140816,产品A,100,10,1000
119237064,2011-9-6 0:19,149841,产品B,200,4,800
119237065,2011-9-6 0:19,155053,产品D,300,5,1500
119237066,2011-9-6 0:19,160697,产品A,100,7,700
119237067,2011-9-6 0:19,165898,产品A,100,1,100
119237068,2011-9-6 0:19,174738,产品D,300,2,600
119237069,2011-9-6 0:19,190917,产品A,100,5,500
119237070,2011-9-6 0:20,134545,产品D,300,2,600
119237071,2011-9-6 0:20,149841,产品B,200,7,1400
119237072,2011-9-6 0:20,155940,产品D,300,1,300
119237073,2011-9-6 0:20,170981,产品B,200,9,1800
119237074,2011-9-6 0:20,172670,产品A,100,7,700
119237075,2011-9-6 0:20,181711,产品A,100,10,1000
119237076,2011-9-6 0:20,191385,产品A,100,10,1000
119237077,2011-9-6 0:20,192727,产品A,100,3,300
119237078,2011-9-6 0:21,100195,产品D,300,5,1500
119237079,2011-9-6 0:21,109185,产品B,200,9,1800
119237080,2011-9-6 0:21,130479,产品A,100,8,800
119237081,2011-9-6 0:21,133831,产品B,200,5,1000
119237082,2011-9-6 0:21,134841,产品D,300,9,2700
119237083,2011-9-6 0:21,167420,产品D,300,8,2400
119237084,2011-9-6 0:21,181670,产品A,100,10,1000
119237085,2011-9-6 0:21,190546,产品A,100,5,500
119237086,2011-9-6 0:22,124777,产品B,200,10,2000
